"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1990657078705168406","Tue Nov 18 05:43:26 +0000 2025","0","Mimimimi mimimimi mimimimi mimimimi mimimimi mimimimi mimimimi mimimimi mimimimi mimimimi mimimimi mimimimi mimimimi mimimimi mimimimi mimimimi ","1990657078705168406","","","cs","","0","0","0","https://x.com/undefined/status/1990657078705168406","1791135167421014016",
"1990656988867670189","Tue Nov 18 05:43:05 +0000 2025","0","[J-Hope] เจโฮป อินสตาแกรมสตอรี่ ️ IG : uarmyhope https://t.co/D2ZKGLNGP3 #JHOPE #เจโฮป #제이홉 https://t.co/67C5Jfxi4h","1990656988867670189","https://pbs.twimg.com/media/G6A7-ifakAIEN9o.jpg","","und","","0","0","0","https://x.com/undefined/status/1990656988867670189","1932774300064624641",
"1990656662412407182","Tue Nov 18 05:41:47 +0000 2025","2","น้องจินยองตัองได้รางวัลเท่านั้น #JINYOUNG https://t.co/sHwMS2ZPtv","1990656662412407182","https://pbs.twimg.com/media/G6A7rhobMAM0iC2.jpg","","th","","0","0","1","https://x.com/undefined/status/1990656662412407182","1384892342763626501",
"1990643912596467949","Tue Nov 18 05:40:48 +0000 2025","1","@iayaye ไม่อยากเป็นควายอยากเปงคนในใจ เต้เยิบหน่อยสิ!! ","1990656412712861954","","iayaye","th","","0","1","0","https://x.com/undefined/status/1990656412712861954","1437048128243261448",
"1990656283024982243","Tue Nov 18 05:40:17 +0000 2025","1","พี่ออฟพี่เอ้กพี่โดมพี่โจ้ จูม้าคที ","1990656283024982243","","","th","","0","0","0","https://x.com/undefined/status/1990656283024982243","1789689107737890816",
"1990107934676885742","Tue Nov 18 05:40:04 +0000 2025","0","แมสแล้ว ฝากด้วย คัมแบควันที่ 24/11/25 เวลา 16.00น.(ไทย) ซื้อบั้มกันได้ ฟังเพลงกันได้นะจ๊ะพี่ ๆ #RIIZE #라이즈 #RISEandREALIZE #Fame #RIIZE_Fame https://t.co/k02yJKGzTX","1990656230336221679","","AuAnorita","th","","0","0","0","https://x.com/undefined/status/1990656230336221679","154079380",
"1990656080389812322","Tue Nov 18 05:39:35 +0000 2025","0","#WENDY #웬디 #WEALIVE #WENDY_WORLDTOUR #RedVelvet #레드벨벳 @WENDY_offcl @ASNDLABEL https://t.co/pLkuk0dPYP","1990656108244177008","https://pbs.twimg.com/media/G6A7LZbbAAAGnNR.jpg","DAIXIAO14","qme","","0","0","0","https://x.com/undefined/status/1990656108244177008","1340875684323807235",
"1990652751911793048","Tue Nov 18 05:38:58 +0000 2025","0","ONF オネノプ 온앤오프 교환 リリイベ　交換 求　イーション 이션 창윤 譲　スンジュン　ワイアット　ユト 승준 와이엇 유토","1990655954069893619","","ch__O94","ja","","0","0","0","https://x.com/undefined/status/1990655954069893619","1489299557489917952",
"1990624576410403143","Tue Nov 18 05:38:09 +0000 2025","0","@H0NG5Y 이메 순서대로 하루 유이 코요 후유키같다 아니면 좀 바꿔서 하루 후유키 코요 유이","1990655749652103354","","H0NG5Y","ko","","0","0","0","https://x.com/undefined/status/1990655749652103354","1642340589692940289",
"1990655714440987025","Tue Nov 18 05:38:01 +0000 2025","1","₊˚ ‿︵‿︵୨୧ · · · · ୨୧‿︵‿︵ ˚+ ୨୧ ꒱ considering trying the pink layout on my posts again .. 𐔌ᥩྀི 𓏼 &gt; . &lt; 𓏼꒱ྀི১ ","1990655714440987025","","","en","","0","0","0","https://x.com/undefined/status/1990655714440987025","1781961570701983745",
"1990655703842005190","Tue Nov 18 05:37:59 +0000 2025","1","ばーすでーがーるのソヒちゃんかわいすぎる #HappyHanSoHeeDay #소희가_있어서_겨울이_안추워 https://t.co/aWMHyyP1KB","1990655703842005190","https://pbs.twimg.com/amplify_video_thumb/1990655636280061952/img/1ZoQd6dGRxkunn2i.jpg","","ja","","0","0","0","https://x.com/undefined/status/1990655703842005190","1373225478492889089",
"1990655691472949652","Tue Nov 18 05:37:56 +0000 2025","2","#드가자 #드가자드 #드가다그 #드가긔거든 #드가야하거든 #드가야한다고 #가자 #드가보자고 #드보자고 #드가긔 #들가야하거든 #들어가야한다고 #드가를드가야한다고 #드가자그 #가보자는걸드가야한다고 #들어가야한다 #드가를드가보기 #드가를보세요 #드가자미 #드가의미를드가야한다고","1990655691472949652","","","qht","","0","0","0","https://x.com/undefined/status/1990655691472949652","1679854152900554752",
"1990655614419415420","Tue Nov 18 05:37:37 +0000 2025","7","GOT JISUNG AGAIN WKWKWKW OKE THANKS https://t.co/SfFifteF3V","1990655614419415420","https://pbs.twimg.com/media/G6A6ufpaAAA1QYf.jpg","","in","","0","0","0","https://x.com/undefined/status/1990655614419415420","1611178473984516097",
"1990655518063669699","Tue Nov 18 05:37:14 +0000 2025","0","#LiNC #LiNCX인기가요 #인기가요사전투표 2일차 투표 완료 크래비티 레모네이드 피버 cravity lemonade fever 화이팅 https://t.co/lr7XlXjQit","1990655518063669699","https://pbs.twimg.com/media/G6A6pAQbMAAbfEC.jpg","","ko","","0","0","0","https://x.com/undefined/status/1990655518063669699","1137678958537846784",
"1990655478020649256","Tue Nov 18 05:37:05 +0000 2025","0","&amp;TEAM CanCam Meets フォトムック HMV特典 手繋ぎトレカ️ 【譲】MAKI マキ 【求】 K ケイ または NICHOLAS ニコラス 郵送（同日発送）希望です 気軽に声掛けて下さい #andTEAM交換 #andTEAM_交換 https://t.co/E6UBTmemOD","1990655478020649256","https://pbs.twimg.com/media/G6A6mvma8AAu2_i.jpg","","ja","","0","0","1","https://x.com/undefined/status/1990655478020649256","1392868043118637057",
"1990655383640445017","Tue Nov 18 05:36:42 +0000 2025","0","Adeeeek gemes selamat ulang tahun sehat dan bahagia selalu ya dek #우리사쿠_생일듀카해 #HAPPY_SAKUYA_DAY #さくちゃんの_キラキラ_お誕生日","1990655383640445017","","","in","","0","0","0","https://x.com/undefined/status/1990655383640445017","1344267293266571267",
"1990655348005601572","Tue Nov 18 05:36:34 +0000 2025","1","시린 말들에 겨우 이제서야 그대를 쉽게 미워할 수 있을 줄 알았는데&lt; 개미친가사","1990655348005601572","","","ko","","0","0","0","https://x.com/undefined/status/1990655348005601572","1883529557950750720",
"1987515503972376852","Tue Nov 18 05:36:20 +0000 2025","0","@idnaokun いつどこにいてもあいみはなおしのことすぐ見つけるよ꒰ঌ︎⸝⸝ʚ̴̶̷̷ · ʚ̴̶̷̷⸝⸝໒꒱𓂃𓈒𓏸","1990655288576516213","","idnaokun","ja","","0","0","0","https://x.com/undefined/status/1990655288576516213","862079941168345088",
"1990654949873901656","Tue Nov 18 05:34:59 +0000 2025","2","씻 밥 잠? 밥 씻 잠 밥 밥 밥 밥 michin saekki 죽어도 먹고 자야됨 아절대로안돼밥먹어절대밥 사람은배고프면안돼","1990654949873901656","","","ko","","0","0","1","https://x.com/undefined/status/1990654949873901656","1206130402953322498",
