conversation_id_str;created_at;favorite_count;full_text;id_str;image_url;in_reply_to_screen_name;lang;location;quote_count;reply_count;retweet_count;tweet_url;user_id_str;username
1,98E+18;Sun Oct 19 15:24:04 +0000 2025;0;@sbtgirlgroup unsealed postcard indomie x newjeans ada 2 set yap (7.000/set);1,98E+18;;sbtgirlgroup;in;;0;0;0;https://x.com/undefined/status/1979931561974796723;1,68E+18;
1,98E+18;Fri Oct 17 14:06:59 +0000 2025;1;hi ada yang masih nyari postcard / photocard set newjeans x indomie yang ini kah? isinya utuh semua yaaa sealed 10k/ea unsealed 9k take all 25k only t. wts want to sell jual postcard newjeans ready kamar https://t.co/kbbQ00fUn2;1,98E+18;https://pbs.twimg.com/media/G3d8b8eWwAEFuGC.jpg;;in;;0;0;1;https://x.com/undefined/status/1979187389709873455;1284831638;
1,98E+18;Tue Oct 14 04:10:15 +0000 2025;0;@munvess indomie soto banjar aceh tori miso mie newjeans;1,98E+18;;munvess;in;;0;0;0;https://x.com/undefined/status/1977950051294118394;1,24E+18;
1,98E+18;Thu Oct 09 17:20:56 +0000 2025;0;Tolol ancrit. Gue mau beli pocky HoloID malah ditawarin indomie Newjeans.;1,98E+18;;;in;;0;0;0;https://x.com/undefined/status/1976337096009974166;1,31E+18;
1,97E+18;Sun Oct 05 06:55:09 +0000 2025;0;@aukseen Newjeans taunya dr iklan indomie;1,97E+18;;aukseen;in;;0;0;0;https://x.com/undefined/status/1974730060512059840;77697051;
1,97E+18;Tue Sep 23 06:47:58 +0000 2025;0;Keinget pernah menang giveaway Indomie Newjeans. Menang 300k pas bgt ultah waktu itu wkwk. Meski gak banyak tapi w seneng bgt. Dimana Indomie gaet Newjeans sebagai bunnies ape gak seneng gueeehhh;1,97E+18;;;in;;0;1;0;https://x.com/undefined/status/1970379598631477510;1,56E+18;
1,97E+18;Wed Sep 17 02:13:05 +0000 2025;0;@shypinklet Itu loh indomie yg collab sama newjeans;1,97E+18;;shypinklet;in;;0;1;0;https://x.com/undefined/status/1968136092261265633;1,75E+18;
1,96E+18;Mon Sep 01 12:52:45 +0000 2025;0;njf! hi bunnies apakah disini ada yg pernah screenshot postingan iklan indomie x newjeans? kalau ada yg punya boleh minta ga yaa? soalnya postingannya udah ga ada trimakasii sebelumnyaa;1,96E+18;;;in;;0;0;0;https://x.com/undefined/status/1962498865128710348;1,57E+18;
1,96E+18;Wed Aug 27 03:51:33 +0000 2025;0;@meowieppu @roblox_fess Tadi aku mampir ke menara Indomie x Newjeans;1,96E+18;;meowieppu;in;;0;0;0;https://x.com/undefined/status/1960550727136489809;1,02E+18;
1,96E+18;Mon Aug 25 06:42:13 +0000 2025;0;@raabbilt Minat indomie newjeans ngidam dari kemarin;1,96E+18;;raabbilt;in;;0;0;0;https://x.com/undefined/status/1959868902156210439;1,61E+18;
1,96E+18;Fri Aug 22 12:25:33 +0000 2025;0;@urashnti @dubudubudibdub Sebelum beli mampir dulu kak ke kasir tanya stok Saya pas newjeans indomie bgitu;1,96E+18;;urashnti;in;;0;0;0;https://x.com/undefined/status/1958868141431562624;273977169;
1,96E+18;Fri Aug 22 02:23:27 +0000 2025;0;@moonstars_night Ih aku juga tadi ke indomart masih belum ada si mbaknya malah nunjukin pc indomie newjeans udh punya kata aku teh;1,96E+18;;moonstars_night;in;;0;1;0;https://x.com/undefined/status/1958716619326419362;1,29E+18;
1,96E+18;Wed Aug 20 11:49:31 +0000 2025;0;@tanyakanrl Indomie premium collection newjeans yang varian spicy ramyeon aku ga abis makan mi kuah satu bungkus tapi kalo varian ini bisa aku makan sampe tetes kuah terakhir ️‍;1,96E+18;;tanyakanrl;in;;0;0;0;https://x.com/undefined/status/1958134296897892703;1,30E+18;
1,95E+18;Wed Aug 06 08:27:45 +0000 2025;0;indomie korean ramyeon yg dipromoin newjeans ga enak cok;1,95E+18;;;in;;0;4;0;https://x.com/undefined/status/1953010090744975623;8,83E+17;
1,95E+18;Thu Jul 31 12:03:24 +0000 2025;2;Dikira di yg tmpt newjeans x indomie kmrn... Ternyata di bawah euy ramenya kek apeu ini;1,95E+18;;;in;;0;0;0;https://x.com/undefined/status/1950890032962682977;1,34E+18;
1,95E+18;Tue Jul 29 10:22:44 +0000 2025;0;Oh My Good! It's INDOMIE x NewJeans Exclusive mini postcard set Semoga cepet kelar ya dik adik terus comeback #NewJeans #NJZ #indomie https://t.co/JwfyPc96LS;1,95E+18;https://pbs.twimg.com/media/GxBJ60ObUAIA_Qi.jpg;;in;;0;0;0;https://x.com/undefined/status/1950139925686325504;1,24E+18;
1,95E+18;Tue Jul 29 08:23:34 +0000 2025;0;indomie newjeans masih ada gasih;1,95E+18;;;in;;0;1;0;https://x.com/undefined/status/1950109934739169582;1,95E+18;
1,95E+18;Mon Jul 28 03:55:17 +0000 2025;0;ada yang jual tas indomie x newjeans ini gak yaa? https://t.co/RZrrPnO22g;1,95E+18;https://pbs.twimg.com/media/Gw6nppxbcAE4AoU.jpg;;in;;0;1;0;https://x.com/undefined/status/1949680031610921264;1,31E+18;
1,95E+18;Thu Jul 24 00:59:59 +0000 2025;0;mardial kan yang sama newjeans indomie juga.;1,95E+18;;FulgentStar;in;;0;1;0;https://x.com/undefined/status/1948186362865504478;7,64E+17;
1,94E+18;Sun Jul 20 21:25:36 +0000 2025;1;@callmeyexia @GoodDayID biasanya suprise pc tuh terakhiran gasih nder? kaya aespa tango sama newjeans indomie;1,95E+18;;callmeyexia;in;;0;0;0;https://x.com/undefined/status/1947045249475571963;1,43E+18;
