"conversation_id_str,""created_at"",""favorite_count"",""full_text"",""id_str"",""image_url"",""in_reply_to_screen_name"",""lang"",""location"",""quote_count"",""reply_count"",""retweet_count"",""tweet_url"",""user_id_str"",""username""";;
"1986594352916013227,""Fri Nov 07 00:39:37 +0000 2025"",""2"",""พี่ขอเฟรม ออฟจุม หะริด มติมันท์ จะเป็นทาสรักVIPP ทุกชาติไป #iQIYIiJOYTH2026"",""1986594352916013227"","""","""",""th"","""",""0"",""0"",""1"",""https://x.com/undefined/status/1986594352916013227"",""977216432"",";;
"1986594329448882188,""Fri Nov 07 00:39:31 +0000 2025"",""1"",""#ENHYPEN に今年こそを #2025MAMAVOTE ENGENEファイティン！ https://t.co/CRRVYHKhBj"",""1986594329448882188"",""https://pbs.twimg.com/media/G5HNA08a0AAVKi5.jpg"","""",""ja"","""",""0"",""0"",""2"",""https://x.com/undefined/status/1986594329448882188"",""128059837"",";;
"1982293065311133731,""Fri Nov 07 00:39:17 +0000 2025"",""0"",""@neingie ENGGA KOKKK. WIG AJA WIG MASIH PANJANG. ‍↕️"",""1986594266920198286"","""",""neingie"",""in"","""",""0"",""0"",""0"",""https://x.com/undefined/status/1986594266920198286"",""1621772832421314560"",";;
"1986580749404021079,""Fri Nov 07 00:38:46 +0000 2025"",""4"",""@jogjapokeid @Arkana_Buana @newIding30 @Sammi86Reborn @Bambang01250678 @RPrima789 @Lullaby1237431 @Hermoyliana @EviDrajat @YosAditya61 @RickyKardjono @RatnaPuspi16942 @SungaiNil3 @JokoS1561615 @Manse_Mangat @albert_morafia @LexMarteg @SonyaAmriani Matur nuwun mas @jogjapokeid Selamat pagi Semangat aktivitas Salam #JumatBerkah"",""1986594139375620471"","""",""jogjapokeid"",""in"","""",""0"",""1"",""0"",""https://x.com/undefined/status/1986594139375620471"",""1438174983046402053"",";;
"1986593938820767929,""Fri Nov 07 00:37:58 +0000 2025"",""0"",""Additional day yuk yang beluum hunting ads today masih bisaaa MORE DECADES WITH SUPER JUNIOR #20toEternitySuperJunior #슈퍼주니어_더라스트맨_스탠딩 #슈퍼주니어 #SUPERJUNIOR #SUPERJUNIOR_20th_Anniversary"",""1986593938820767929"","""","""",""in"","""",""0"",""0"",""0"",""https://x.com/undefined/status/1986593938820767929"",""1120672635807916034"",";;
"1986593840082657671,""Fri Nov 07 00:37:35 +0000 2025"",""4"",""ɢ०ᵒᒄ ʍᵒ~ʳᐢⁱᐢᵍ️･*:⋆゜ もう、、ほんとに言葉にならない、、 ただただ今日まで生きててくれてありがとう 必ず日の当たる場所へ、、 今日も彼の側に...𓂃𓈒 #キムスヒョン #김수현 #KimSooHyun #AlwaysWithSooHyun #WeStandwithKimSooHyun https://t.co/qahVG2ODoj"",""1986593840082657671"",""https://pbs.twimg.com/media/G5HMkLCbIAEwUHH.jpg"","""",""ja"","""",""0"",""0"",""0"",""https://x.com/undefined/status/1986593840082657671"",""1829868130614775808"",";;
"1986593816632254900,""Fri Nov 07 00:37:29 +0000 2025"",""0"",""YA BENER SIH TAPI KOK AKU KZL YAK "",""1986593816632254900"","""","""",""in"","""",""0"",""0"",""0"",""https://x.com/undefined/status/1986593816632254900"",""1345803674635759617"",";;
"1986593779034493400,""Fri Nov 07 00:37:20 +0000 2025"",""2"",""เป็นกำลังใจให้พีคมิ้นท์แบบนี้ตลอดไปนะคะ PEAKMINT AUTUMN LOVE ⁠ #พีคมิ้นท์ | #PeakMint ⁠ https://t.co/astkFU3sPh"",""1986593779034493400"",""https://pbs.twimg.com/media/G5HMgjzb0AAWHvO.jpg"","""",""th"","""",""0"",""0"",""2"",""https://x.com/undefined/status/1986593779034493400"",""1505435322305622019"",";;
"1986593591763083656,""Fri Nov 07 00:36:37 +0000 2025"",""1"",""&lt";첫콘 이어서&gt;" 오공님(첫콘겉돌) @5gong_u (탐넘 레나님 @Lena_bami0715 도토리님 @Dotori_Hunter mimili님 @mimili_yumei 째째플리님 @jjaejjae_plli 아가판더스님 @Agapanders 스스메님 @ayS132912982550 (탐넘 꽃노비님 (디엠 탐넘 떼루님 @aialsl (탐넘"",""1986593596464902312"","""",""kori_bambong"",""ko"","""",""0"",""1"",""0"",""https://x.com/undefined/status/1986593596464902312"",""1845569152934924288"","
"1986343730589429819,""Fri Nov 07 00:35:01 +0000 2025"",""0"",""@ILove_hamburger あかつきー！️ おつありよー！(*´˘`*) 多分誤字だと思うけどおむかれさま可愛い！(*´˘`*)"",""1986593195057418454"","""",""ILove_hamburger"",""ja"","""",""0"",""0"",""0"",""https://x.com/undefined/status/1986593195057418454"",""1930227018995773444"",";;
