conversation_id_str;created_at;favorite_count;full_text;id_str;image_url;in_reply_to_screen_name;lang;location;quote_count;reply_count;retweet_count;tweet_url;user_id_str;username
1,98658E+18;Fri Nov 07 00:32:34 +0000 2025;0;@nyanco_nyannyan いしかわさん おはようございます &amp;;;;;;;;;;;
1,98659E+18;Fri Nov 07 00:32:25 +0000 2025;0;Nanti malam udah 1 pulau sama Younghoon ;1,98659E+18;;;in;;0;0;0;https://x.com/undefined/status/1986592541454786628;1,20823E+18;
1,98659E+18;Fri Nov 07 00:31:02 +0000 2025;0;コラボ投票を取りまとめてくださってるENGENEさん、積極的に参加してくれてるENGENEさん、ありがとうございます‼︎ あと少し、ENGENE切らずに頑張ろう #ENHYPEN #2025MAMAVOTE‍⬛;1,98659E+18;;;ja;;0;0;1;https://x.com/undefined/status/1986592190756495536;1,5048E+18;
1,98659E+18;Fri Nov 07 00:29:59 +0000 2025;0;aku updatenya - heehoon - hoonseung - heehoon - hoonseung biar adil ya adik adik jangan tanya terus kek bocah kok gak heehoon lagi ;1,98659E+18;;;in;;0;0;0;https://x.com/undefined/status/1986591926485946710;1,43018E+18;
1,98658E+18;Fri Nov 07 00:28:36 +0000 2025;0;@2022810MZDAO ともららちゃん ﾟ* (*･ω･*)おはよう ( *´꒳`*)ฅ ｲｯﾃﾗｯｼｬｲ 楽しんできてね︎;1,98659E+18;;2022810MZDAO;ja;;0;0;0;https://x.com/undefined/status/1986591581139575224;1,57834E+18;
1,98659E+18;Fri Nov 07 00:26:09 +0000 2025;0;あぁぁアンコン行きたいアンコン行きたいアンコン行きたいアンコン行きたいアンコン行きたいアンコン行きたいアンコン行きたいアンコン行きたいアンコン行きたいアンコン行きたいアンコン行きたいアンコン行きたいアンコン行きたいアンコン行きたいアンコン行きたいアンコン行きたい https://t.co/1pX9wzJIlg;1,98659E+18;https://pbs.twimg.com/media/G5HJ83zbcAAHVwU.jpg;;ja;;0;0;0;https://x.com/undefined/status/1986590964551647439;1,74641E+18;
1,98659E+18;Fri Nov 07 00:18:38 +0000 2025;0; 𝗚𝗢𝗢𝗗 𝗠𝗢𝗥𝗡𝗜𝗡𝗚 ˳༚ / - ท้องฟ้ายามเช้าจงพาเธอสุขสันต์! - #MewyuNikkoNikko #NikkoNikko #ニッコニッコ #IC45Ent https://t.co/NB2O5eCxVX;1,98659E+18;https://pbs.twimg.com/media/G5HIOQxbIAAcYyf.jpg;;th;;0;0;0;https://x.com/undefined/status/1986589071398035637;1,59761E+18;
1,98659E+18;Fri Nov 07 00:16:16 +0000 2025;1;むくんだ超スーパーアヒル どーしたらそんな髪型になるわけ #NI_KI #ENHYPEN #2025MAMAVOTE https://t.co/lNq8dlgsx1;1,98659E+18;https://pbs.twimg.com/media/G5HHsPcbIAchsMC.jpg;;ja;;0;0;1;https://x.com/undefined/status/1986588478495469634;1,43514E+18;
1,98659E+18;Fri Nov 07 00:15:32 +0000 2025;3;Aku nak Ipong (Carats nya juga bowleh );1,98659E+18;;;in;;0;0;0;https://x.com/undefined/status/1986588292440334350;1,75194E+18;
1,98659E+18;Fri Nov 07 00:15:04 +0000 2025;4; ‼️SIJEUNI INA ONLY‼️ NCTZEN FOLLOW SPREE NCTZEN FOLLOW SPREE NCTZEN FOLLOW SPREE drop and follow everyone who likes your reply don't forget to follback!;1,98659E+18;;;en;;0;13;1;https://x.com/undefined/status/1986588176106848285;2503485216;
