conversation_id_str;created_at;favorite_count;full_text;id_str;image_url;in_reply_to_screen_name;lang;location;quote_count;reply_count;retweet_count;tweet_url;user_id_str;username
1,98659E+18;Fri Nov 07 00:27:15 +0000 2025;0;@_IMBOWVYBD กุจะบ้า5555555555555555555555555555555555555;1,98659E+18;;_IMBOWVYBD;th;;0;0;0;https://x.com/undefined/status/1986591239463182473;1,21303E+18;
1,98641E+18;Fri Nov 07 00:26:55 +0000 2025;0;@iQIYI_Thailand งู้ยยยยย รอเจอน้ำหนึ่งเนยที่บ้านพี่อ้ายเยยค้าบ #iQIYIiJOYTH2026 #น้ำหนึ่งเนย #NamneungNoey #NamneungMilinD #NoeyKanteera ;1,98659E+18;;iQIYI_Thailand;th;;0;0;0;https://x.com/undefined/status/1986591156894130537;848070216;
1,98659E+18;Fri Nov 07 00:18:35 +0000 2025;1;MDS QUE HINOOOOOOOOOOOOOOOOOOOOO ️️️️️;1,98659E+18;;;fr;;0;0;1;https://x.com/undefined/status/1986589058261217765;62146705;
1,98659E+18;Fri Nov 07 00:16:26 +0000 2025;0;@ioohja คุมโอ้!! 555555555555555 เดือนนี้แหละค่ะ เดือนนี้ ;1,98659E+18;;ioohja;th;;0;1;0;https://x.com/undefined/status/1986588518811099147;1,4957E+18;
1,98659E+18;Fri Nov 07 00:15:32 +0000 2025;2;Aku nak Ipong (Carats nya juga bowleh );1,98659E+18;;;in;;0;0;0;https://x.com/undefined/status/1986588292440334350;1,75194E+18;
1,98659E+18;Fri Nov 07 00:15:04 +0000 2025;4; ‼️SIJEUNI INA ONLY‼️ NCTZEN FOLLOW SPREE NCTZEN FOLLOW SPREE NCTZEN FOLLOW SPREE drop and follow everyone who likes your reply don't forget to follback!;1,98659E+18;;;en;;0;10;1;https://x.com/undefined/status/1986588176106848285;2503485216;
1,98659E+18;Fri Nov 07 00:14:13 +0000 2025;1;今日も大好き ‍⬛ #ENHYPEN に　#2025MAMAVOTE 届けよう https://t.co/ksXXtatIwc;1,98659E+18;https://pbs.twimg.com/media/G5HHOAtbIAET3gK.jpg;;ja;;0;0;1;https://x.com/undefined/status/1986587960087908723;1,43514E+18;
1,98659E+18;Fri Nov 07 00:13:23 +0000 2025;0;TE AMO TE AMO TE AMO TE AMO TE AMO TE AMO;1,98659E+18;;;pt;;0;0;0;https://x.com/undefined/status/1986587752377499873;2986420415;
1,98658E+18;Fri Nov 07 00:13:23 +0000 2025;3;@Arkana_Buana @newIding30 @Sammi86Reborn @Bambang01250678 @RPrima789 @Lullaby1237431 @jogjapokeid @Hermoyliana @EviDrajat @Yoen__AR @RickyKardjono @RatnaPuspi16942 @SungaiNil3 @JokoS1561615 @Manse_Mangat @albert_morafia @LexMarteg @SonyaAmriani Selamat pa;;;;;;;;;;;
1,98659E+18;Fri Nov 07 00:13:18 +0000 2025;0;kirain itu benda udah gak bakalan di pake lagi ternyata di pake lagi ‍↔️ https://t.co/KDTg1NWnFc;1,98659E+18;https://pbs.twimg.com/media/G5HHAv2bIAM3vnT.jpg;;in;;0;0;0;https://x.com/undefined/status/1986587728935567865;1,86416E+18;
