"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1986596306794537196","Fri Nov 07 00:47:23 +0000 2025","0","ME ESTOY RE JIJEANDO AJENWEMQMMJQKAKKSLAJEKDMWHDNDJWWHSJHJDHW","1986596306794537196","","","et","","0","0","0","https://x.com/undefined/status/1986596306794537196","1875384015210860544",
"1986594714074947658","Fri Nov 07 00:41:03 +0000 2025","0","D-506 ฉันจะรอเธอ~~ มอร์นิ่งวันศุกร์วันแห่งความสุข ขอให้ทุกอย่างราบรื่นและผ่านไปด้วยดีนะครับ คิดถึงงงง 𝓗𝓪𝓿𝓮 𝓪 𝓷𝓲𝓬𝓮 𝓭𝓪𝔂 Always Think About Gyeom #ShallWeDance_Yugyeom #InterlunarTimeWithYugyeom #인터루나타임과_유겸 #YUGYEOM #유겸 @yugyeom https://t.co/JPcrtZXqVb","1986594714074947658","https://pbs.twimg.com/media/G5HNW6PbIAUJW36.jpg","","th","","0","0","0","https://x.com/undefined/status/1986594714074947658","1427881407422943235",
"1982293065311133731","Fri Nov 07 00:39:17 +0000 2025","0","@neingie ENGGA KOKKK. WIG AJA WIG MASIH PANJANG. ‍↕️","1986594266920198286","","neingie","in","","0","0","0","https://x.com/undefined/status/1986594266920198286","1621772832421314560",
"1986591926485946710","Fri Nov 07 00:29:59 +0000 2025","0","aku updatenya - heehoon - hoonseung - heehoon - hoonseung biar adil ya adik adik jangan tanya terus kek bocah kok gak heehoon lagi ","1986591926485946710","","","in","","0","0","0","https://x.com/undefined/status/1986591926485946710","1430184130570964999",
"1986582338894221568","Fri Nov 07 00:28:36 +0000 2025","0","@2022810MZDAO ともららちゃん ﾟ* (*･ω･*)おはよう ( *´꒳`*)ฅ ｲｯﾃﾗｯｼｬｲ 楽しんできてね︎","1986591581139575224","","2022810MZDAO","ja","","0","0","0","https://x.com/undefined/status/1986591581139575224","1578340249318854657",
"1986414618273857537","Fri Nov 07 00:26:55 +0000 2025","0","@iQIYI_Thailand งู้ยยยยย รอเจอน้ำหนึ่งเนยที่บ้านพี่อ้ายเยยค้าบ #iQIYIiJOYTH2026 #น้ำหนึ่งเนย #NamneungNoey #NamneungMilinD #NoeyKanteera ","1986591156894130537","","iQIYI_Thailand","th","","0","0","0","https://x.com/undefined/status/1986591156894130537","848070216",
"1986590998806601860","Fri Nov 07 00:26:17 +0000 2025","0"," ga harus riwoo GAKK HARUS RIWOO POKOKNYAAA","1986590998806601860","","","in","","0","0","0","https://x.com/undefined/status/1986590998806601860","1426546162018897928",
"1986590616567078985","Fri Nov 07 00:24:46 +0000 2025","0","이태 이 녀석~!~!~!~!~!~!~!!!!!~!~!~!~!~!~!~!~!~!~!~!!~!!~!~","1986590616567078985","","","ko","","0","0","0","https://x.com/undefined/status/1986590616567078985","1771166139810562048",
"1986585068450816002","Fri Nov 07 00:16:26 +0000 2025","0","@ioohja คุมโอ้!! 555555555555555 เดือนนี้แหละค่ะ เดือนนี้ ","1986588518811099147","","ioohja","th","","0","1","0","https://x.com/undefined/status/1986588518811099147","1495695274924441601",
"1986588407871758348","Fri Nov 07 00:16:00 +0000 2025","0","SERU BGT SAMPE INGIN MENGATAKAN.. WHEN YESSSSSSSSSSSSSSSSSSSSSS","1986588407871758348","","","in","","0","0","0","https://x.com/undefined/status/1986588407871758348","1108263439",
